TYPEID;GROUPID;TYPENAME;MASS;VOLUME
256;86;Microwave L;1;1
257;86;Infrared L;1;1
258;86;Standard L;1;1
259;86;Ultraviolet L;1;1
260;86;Xray L;1;1
261;86;Gamma L;1;1
262;86;Multifrequency L;1;1
263;87;Cap Booster 25;2,5;1
264;87;Cap Booster 50;5;2
265;1158;Heavy Defender Missile I;1000;0,03
266;387;Scourge Rocket;100;0,005
267;89;Scourge Torpedo;1500;0,1
269;394;Mjolnir Auto-Targeting Light Missile I;700;0,015
270;92;Python Mine;1;0,15
377;38;Small Shield Extender I;0;5
380;38;Small Shield Extender II;0;5
393;39;Shield Recharger I;0;5
394;39;Shield Recharger II;0;5
399;40;Small Shield Booster I;0;5
400;40;Small Shield Booster II;0;5
405;41;Micro Remote Shield Booster I;0;2,5
406;41;Micro Remote Shield Booster II;0;2,5
421;43;Basic Capacitor Recharger;1;5
434;46;1MN Microwarpdrive I;0;10
438;46;1MN Afterburner II;0;5
439;46;1MN Afterburner I;0;5
440;46;1MN Microwarpdrive II;0;10
442;47;Cargo Scanner I;0;5
443;48;Ship Scanner I;0;5
444;49;Survey Scanner I;0;5
447;52;Warp Scrambler I;0;5
448;52;Warp Scrambler II;0;5
450;53;Gatling Pulse Laser I;500;5
451;53;Dual Light Pulse Laser I;500;5
452;53;Dual Light Beam Laser I;500;5
453;53;Small Focused Pulse Laser I;500;5
454;53;Small Focused Beam Laser I;500;5
455;53;Quad Light Beam Laser I;1000;10
456;53;Focused Medium Pulse Laser I;1000;10
457;53;Focused Medium Beam Laser I;1000;10
458;53;Heavy Pulse Laser I;1000;25
459;53;Heavy Beam Laser I;1000;25
460;53;Dual Heavy Pulse Laser I;2000;20
461;53;Dual Heavy Beam Laser I;2000;50
462;53;Mega Pulse Laser I;2000;50
463;53;Mega Beam Laser I;2000;50
464;53;Tachyon Beam Laser I;2000;50
482;54;Miner II;0;5
483;54;Miner I;0;5
484;55;125mm Gatling AutoCannon I;500;5
485;55;150mm Light AutoCannon I;500;5
486;55;200mm AutoCannon I;500;5
487;55;250mm Light Artillery Cannon I;500;5
488;55;280mm Howitzer Artillery I;500;5
489;55;Dual 180mm AutoCannon I;12,5;10
490;55;220mm Vulcan AutoCannon I;1000;10
491;55;425mm AutoCannon I;1000;10
492;55;650mm Artillery Cannon I;125;25
493;55;720mm Howitzer Artillery I;50;25
494;55;Dual 425mm AutoCannon I;200;20
495;55;Dual 650mm Repeating Artillery I;2000;50
496;55;800mm Repeating Artillery I;75;25
497;55;1200mm Artillery Cannon I;2000;50
498;55;1400mm Howitzer Artillery I;2000;50
499;509;Light Missile Launcher I;0;5
501;510;Heavy Missile Launcher I;0;10
503;508;Torpedo Launcher I;0;20
506;767;Basic Capacitor Power Relay;20;5
508;770;Basic Shield Flux Coil;20;5
509;768;Basic Capacitor Flux Coil;20;5
518;59;Basic Gyrostabilizer;0;5
519;59;Gyrostabilizer II;0;5
520;59;Gyrostabilizer I;0;5
521;60;Basic Damage Control;5000;5
522;61;Micro Capacitor Battery I;0;2,5
523;62;Small Armor Repairer I;500;5
524;63;Small Hull Repairer I;1000;12,5
526;65;Stasis Webifier I;0;5
527;65;Stasis Webifier II;0;5
529;67;Small Remote Capacitor Transmitter I;1000;25
530;68;Small Nosferatu I;1000;5
533;71;Small Energy Neutralizer I;2000;5
561;74;75mm Gatling Rail I;500;5
562;74;Light Electron Blaster I;500;5
563;74;Light Ion Blaster I;500;5
564;74;Light Neutron Blaster I;500;5
565;74;150mm Railgun I;500;5
566;74;Heavy Electron Blaster I;2000;10
567;74;Dual 150mm Railgun I;1000;10
568;74;Heavy Neutron Blaster I;1000;25
569;74;Heavy Ion Blaster I;1000;10
570;74;250mm Railgun I;1000;25
571;74;Electron Blaster Cannon I;2000;50
572;74;Dual 250mm Railgun I;2000;20
573;74;Neutron Blaster Cannon I;2000;50
574;74;425mm Railgun I;2000;50
575;74;Ion Blaster Cannon I;2000;50
577;76;Medium Capacitor Booster I;0;10
578;77;Adaptive Invulnerability Field I;10000;20
580;80;ECM Burst I;5000;5
581;82;Passive Targeter I;2000;25
582;25;Bantam;1480000;20000
583;25;Condor;1100000;18000
584;25;Griffin;1056000;19400
585;25;Slasher;1075000;17400
586;25;Probe;1123000;19500
587;25;Rifter;1067000;27289
588;237;Reaper;1157000;15800
589;25;Executioner;1090000;28100
590;25;Inquisitor;1470000;28700
591;25;Tormentor;1080000;24398
592;25;Navitas;1450000;10000
593;25;Tristan;956000;26500
594;25;Incursus;1028000;29500
595;25;Gallente Police Ship;2040000;20400
596;237;Impairor;1148000;28100
597;25;Punisher;1047000;28600
598;25;Breacher;1087000;20000
599;25;Burst;1420000;17100
600;25;Minmatar Peacekeeper Ship;1200000;12000
601;237;Ibis;1163000;15000
602;25;Kestrel;1163000;19700
603;25;Merlin;997000;16500
605;25;Heron;1150000;18900
606;237;Velator;1148000;24500
607;25;Imicus;997000;21500
608;25;Atron;1050000;22500
609;25;Maulus;1063000;23000
610;25;Wraith;1000000;13000
611;25;Specter;1000000;13400
613;25;Devourer;1200000;19100
614;25;Fury;1200000;26000
615;237;Immolator;1148000;17400
616;25;Medusa;1200000;17500
617;237;Echo;1157000;17660
618;25;Lynx;1200000;22500
619;25;Swordspine;1047000;21120
620;26;Osprey;11230000;107000
621;26;Caracal;11910000;92000
622;26;Stabber;11400000;80000
623;26;Moa;12220000;101000
624;26;Maller;12050000;118000
625;26;Augoror;10730000;115000
626;26;Vexor;11310000;115000
627;26;Thorax;11280000;112000
628;26;Arbitrator;11200000;120000
629;26;Rupture;12200000;96000
630;26;Bellicose;11550000;85000
631;26;Scythe;11110000;89000
632;26;Blackbird;13190000;96000
633;26;Celestis;12070000;116000
634;26;Exequror;11020000;113000
635;26;Opux Luxury Yacht;13075000;115000
638;27;Raven;99300000;486000
639;27;Tempest;99500000;450000
640;27;Scorpion;103600000;468000
641;27;Megathron;98400000;486000
642;27;Apocalypse;97100000;495000
643;27;Armageddon;105200000;486000
644;27;Typhoon;100600000;414000
645;27;Dominix;100250000;454500
647;27;Eidolon;100000000;441000
648;28;Badger;10650000;250000
649;28;Tayra;13000000;270000
650;28;Nereus;11250000;240000
651;28;Hoarder;10625000;400000
652;28;Mammoth;11500000;255000
653;28;Wreathe;10000000;225000
654;28;Kryos;12625000;245000
655;28;Epithal;12800000;250000
656;28;Miasmos;12975000;265000
657;28;Iteron Mark V;13500000;275000
658;28;Visitant;15260000;240000
670;29;Capsule;32000;1000
671;30;Erebus;2379370000;145500000
672;31;Caldari Shuttle;1600000;5000
681;104;Clone Grade Beta Blueprint;0;0,01
682;104;Clone Grade Gamma Blueprint;0;0,01
683;105;Bantam Blueprint;0;0,01
684;105;Condor Blueprint;0;0,01
685;105;Griffin Blueprint;0;0,01
686;106;Osprey Blueprint;0;0,01
687;106;Caracal Blueprint;0;0,01
688;107;Raven Blueprint;0;0,01
689;105;Slasher Blueprint;0;0,01
690;105;Probe Blueprint;0;0,01
691;105;Rifter Blueprint;0;0,01
692;106;Stabber Blueprint;0;0,01
693;107;Tempest Blueprint;0;0,01
784;134;Miner II Blueprint;0;0,01
785;134;Miner I Blueprint;0;0,01
786;136;Light Missile Launcher I Blueprint;0;0,01
788;136;Heavy Missile Launcher I Blueprint;0;0,01
790;136;Torpedo Launcher I Blueprint;0;0,01
803;166;Mjolnir Cruise Missile Blueprint;1;0,01
804;166;Scourge Cruise Missile Blueprint;1;0,01
805;166;Inferno Cruise Missile Blueprint;1;0,01
806;166;Nova Cruise Missile Blueprint;1;0,01
807;166;Nova Heavy Missile Blueprint;1;0,01
808;166;Mjolnir Heavy Missile Blueprint;1;0,01
809;166;Inferno Heavy Missile Blueprint;1;0,01
810;166;Scourge Heavy Missile Blueprint;1;0,01
811;166;Scourge Light Missile Blueprint;1;0,01
812;166;Inferno Light Missile Blueprint;1;0,01
813;166;Mjolnir Light Missile Blueprint;1;0,01
814;166;Nova Light Missile Blueprint;1;0,01
819;135;125mm Gatling AutoCannon I Blueprint;0;0,01
820;135;150mm Light AutoCannon I Blueprint;0;0,01
821;135;200mm AutoCannon I Blueprint;0;0,01
822;135;250mm Light Artillery Cannon I Blueprint;0;0,01
823;135;280mm Howitzer Artillery I Blueprint;0;0,01
824;135;Dual 180mm AutoCannon I Blueprint;0;0,01
825;135;220mm Vulcan AutoCannon I Blueprint;0;0,01
826;135;425mm AutoCannon I Blueprint;0;0,01
827;135;650mm Artillery Cannon I Blueprint;0;0,01
828;135;720mm Howitzer Artillery I Blueprint;0;0,01
829;135;Dual 425mm AutoCannon I Blueprint;0;0,01
830;135;Dual 650mm Repeating Artillery I Blueprint;0;0,01
831;135;800mm Repeating Artillery I Blueprint;0;0,01
832;135;1200mm Artillery Cannon I Blueprint;0;0,01
833;135;1400mm Howitzer Artillery I Blueprint;0;0,01
834;133;Gatling Pulse Laser I Blueprint;0;0,01
835;133;Dual Light Pulse Laser I Blueprint;0;0,01
836;133;Dual Light Beam Laser I Blueprint;0;0,01
837;133;Small Focused Pulse Laser I Blueprint;0;0,01
838;133;Small Focused Beam Laser I Blueprint;0;0,01
839;133;Quad Light Beam Laser I Blueprint;0;0,01
840;133;Focused Medium Pulse Laser I Blueprint;0;0,01
841;133;Focused Medium Beam Laser I Blueprint;0;0,01
842;133;Heavy Pulse Laser I Blueprint;0;0,01
843;133;Heavy Beam Laser I Blueprint;0;0,01
844;133;Dual Heavy Pulse Laser I Blueprint;0;0,01
845;133;Dual Heavy Beam Laser I Blueprint;0;0,01
846;133;Mega Pulse Laser I Blueprint;0;0,01
847;133;Mega Beam Laser I Blueprint;0;0,01
848;133;Tachyon Beam Laser I Blueprint;0;0,01
879;165;Carbonized Lead S Blueprint;0;0,01
880;165;Nuclear S Blueprint;0;0,01
881;165;Proton S Blueprint;0;0,01
882;165;Depleted Uranium S Blueprint;0;0,01
883;165;Titanium Sabot S Blueprint;0;0,01
884;165;Fusion S Blueprint;0;0,01
885;165;Phased Plasma S Blueprint;0;0,01
886;165;EMP S Blueprint;0;0,01
887;165;Carbonized Lead M Blueprint;0;0,01
888;165;Nuclear M Blueprint;0;0,01
889;165;Proton M Blueprint;0;0,01
890;165;Depleted Uranium M Blueprint;0;0,01
891;165;Titanium Sabot M Blueprint;0;0,01
892;165;Fusion M Blueprint;0;0,01
893;165;Phased Plasma M Blueprint;0;0,01
894;165;EMP M Blueprint;0;0,01
895;165;Carbonized Lead L Blueprint;0;0,01
896;165;Nuclear L Blueprint;0;0,01
897;165;Proton L Blueprint;0;0,01
898;165;Depleted Uranium L Blueprint;0;0,01
899;165;Titanium Sabot L Blueprint;0;0,01
900;165;Fusion L Blueprint;0;0,01
901;165;Phased Plasma L Blueprint;0;0,01
902;165;EMP L Blueprint;0;0,01
935;105;Reaper Blueprint;0;0,01
936;105;Executioner Blueprint;0;0,01
937;105;Inquisitor Blueprint;0;0,01
938;105;Tormentor Blueprint;0;0,01
939;105;Navitas Blueprint;0;0,01
940;105;Tristan Blueprint;0;0,01
941;105;Incursus Blueprint;0;0,01
943;105;Impairor Blueprint;0;0,01
944;105;Punisher Blueprint;0;0,01
945;105;Breacher Blueprint;0;0,01
946;105;Burst Blueprint;0;0,01
947;105;Minmatar Peacekeeper Ship Blueprint;0;0,01
948;105;Ibis Blueprint;0;0,01
949;105;Kestrel Blueprint;0;0,01
950;105;Merlin Blueprint;0;0,01
952;105;Heron Blueprint;0;0,01
953;105;Velator Blueprint;0;0,01
954;105;Imicus Blueprint;0;0,01
955;105;Atron Blueprint;0;0,01
956;105;Maulus Blueprint;0;0,01
957;105;Wraith Blueprint;0;0,01
958;105;Specter Blueprint;0;0,01
960;105;Devourer Blueprint;0;0,01
961;105;Fury Blueprint;0;0,01
962;105;Immolator Blueprint;0;0,01
963;105;Medusa Blueprint;0;0,01
964;105;Echo Blueprint;0;0,01
965;105;Lynx Blueprint;0;0,01
966;105;Swordspine Blueprint;0;0,01
967;111;Caldari Shuttle Blueprint;0;0,01
968;106;Moa Blueprint;0;0,01
969;106;Maller Blueprint;0;0,01
970;106;Augoror Blueprint;0;0,01
971;106;Vexor Blueprint;0;0,01
972;106;Thorax Blueprint;0;0,01
973;106;Arbitrator Blueprint;0;0,01
974;106;Rupture Blueprint;0;0,01
975;106;Bellicose Blueprint;0;0,01
976;106;Scythe Blueprint;0;0,01
977;106;Blackbird Blueprint;0;0,01
978;106;Celestis Blueprint;0;0,01
979;106;Exequror Blueprint;0;0,01
983;108;Badger Blueprint;0;0,01
984;108;Tayra Blueprint;0;0,01
985;108;Nereus Blueprint;0;0,01
986;108;Hoarder Blueprint;0;0,01
987;108;Mammoth Blueprint;0;0,01
988;108;Wreathe Blueprint;0;0,01
989;108;Kryos Blueprint;0;0,01
990;108;Epithal Blueprint;0;0,01
991;108;Miasmos Blueprint;0;0,01
992;108;Iteron Mark V Blueprint;0;0,01
993;108;Visitant Blueprint;0;0,01
994;107;Scorpion Blueprint;0;0,01
995;107;Megathron Blueprint;0;0,01
996;107;Apocalypse Blueprint;0;0,01
997;107;Armageddon Blueprint;0;0,01
998;107;Typhoon Blueprint;0;0,01
999;107;Dominix Blueprint;0;0,01
1001;107;Eidolon Blueprint;0;0,01
1002;110;Erebus Blueprint;0;0,01
1010;118;Small Shield Extender I Blueprint;0;0,01
1013;118;Small Shield Extender II Blueprint;0;0,01
1026;119;Shield Recharger I Blueprint;0;0,01
1027;119;Shield Recharger II Blueprint;0;0,01
1032;120;Small Shield Booster I Blueprint;0;0,01
1033;120;Small Shield Booster II Blueprint;0;0,01
1067;126;1MN Microwarpdrive I Blueprint;0;0,01
1071;126;1MN Afterburner II Blueprint;0;0,01
1072;126;1MN Afterburner I Blueprint;0;0,01
1073;126;1MN Microwarpdrive II Blueprint;0;0,01
1074;127;Cargo Scanner I Blueprint;0;0,01
1075;128;Ship Scanner I Blueprint;0;0,01
1076;129;Survey Scanner I Blueprint;0;0,01
1079;132;Warp Scrambler I Blueprint;0;0,01
1080;132;Warp Scrambler II Blueprint;0;0,01
1095;139;Gyrostabilizer II Blueprint;0;0,01
1096;139;Gyrostabilizer I Blueprint;0;0,01
1099;142;Small Armor Repairer I Blueprint;0;0,01
1100;143;Small Hull Repairer I Blueprint;0;0,01
1102;145;Stasis Webifier I Blueprint;0;0,01
1103;145;Stasis Webifier II Blueprint;0;0,01
1105;147;Small Remote Capacitor Transmitter I Blueprint;0;0,01
1106;148;Small Nosferatu I Blueprint;0;0,01
1109;151;Small Energy Neutralizer I Blueprint;0;0,01
1112;154;75mm Gatling Rail I Blueprint;0;0,01
1113;154;Light Electron Blaster I Blueprint;0;0,01
1114;154;Light Ion Blaster I Blueprint;0;0,01
1115;154;Light Neutron Blaster I Blueprint;0;0,01
1116;154;150mm Railgun I Blueprint;0;0,01
1117;154;Heavy Electron Blaster I Blueprint;0;0,01
1118;154;Dual 150mm Railgun I Blueprint;0;0,01
1119;154;Heavy Neutron Blaster I Blueprint;0;0,01
1120;154;Heavy Ion Blaster I Blueprint;0;0,01
1121;154;250mm Railgun I Blueprint;0;0,01
1122;154;Electron Blaster Cannon I Blueprint;0;0,01
1123;154;Dual 250mm Railgun I Blueprint;0;0,01
1124;154;Neutron Blaster Cannon I Blueprint;0;0,01
1125;154;425mm Railgun I Blueprint;0;0,01
1126;154;Ion Blaster Cannon I Blueprint;0;0,01
1128;156;Medium Capacitor Booster I Blueprint;0;0,01
1129;157;Adaptive Invulnerability Field I Blueprint;0;0,01
1130;167;Iron Charge S Blueprint;0;0,01
1131;167;Tungsten Charge S Blueprint;0;0,01
1132;167;Iridium Charge S Blueprint;0;0,01
1133;167;Lead Charge S Blueprint;0;0,01
1134;167;Thorium Charge S Blueprint;0;0,01
1135;167;Uranium Charge S Blueprint;0;0,01
1136;167;Plutonium Charge S Blueprint;0;0,01
1137;167;Antimatter Charge S Blueprint;0;0,01
1138;167;Iron Charge M Blueprint;0;0,01
1139;167;Tungsten Charge M Blueprint;0;0,01
1140;167;Iridium Charge M Blueprint;0;0,01
1141;167;Lead Charge M Blueprint;0;0,01
1142;167;Thorium Charge M Blueprint;0;0,01
1143;167;Uranium Charge M Blueprint;0;0,01
1144;167;Plutonium Charge M Blueprint;0;0,01
1145;167;Antimatter Charge M Blueprint;0;0,01
1146;167;Iron Charge L Blueprint;0;0,01
1147;167;Tungsten Charge L Blueprint;0;0,01
1148;167;Iridium Charge L Blueprint;0;0,01
1149;167;Lead Charge L Blueprint;0;0,01
1150;167;Thorium Charge L Blueprint;0;0,01
1151;167;Uranium Charge L Blueprint;0;0,01
1152;167;Plutonium Charge L Blueprint;0;0,01
1153;167;Antimatter Charge L Blueprint;0;0,01
1154;168;Radio S Blueprint;0;0,01
1155;168;Microwave S Blueprint;0;0,01
1156;168;Infrared S Blueprint;0;0,01
1157;168;Standard S Blueprint;0;0,01
1158;168;Ultraviolet S Blueprint;0;0,01
1159;168;Xray S Blueprint;0;0,01
1160;168;Gamma S Blueprint;0;0,01
1161;168;Multifrequency S Blueprint;0;0,01
1162;168;Radio M Blueprint;0;0,01
1163;168;Microwave M Blueprint;0;0,01
1164;168;Infrared M Blueprint;0;0,01
1165;168;Standard M Blueprint;0;0,01
1166;168;Ultraviolet M Blueprint;0;0,01
1167;168;Xray M Blueprint;0;0,01
1168;168;Gamma M Blueprint;0;0,01
1169;168;Multifrequency M Blueprint;0;0,01
1170;168;Radio L Blueprint;0;0,01
1171;168;Microwave L Blueprint;0;0,01
1172;168;Infrared L Blueprint;0;0,01
1173;168;Standard L Blueprint;0;0,01
1174;168;Ultraviolet L Blueprint;0;0,01
1175;168;Xray L Blueprint;0;0,01
1176;168;Gamma L Blueprint;0;0,01
1177;168;Multifrequency L Blueprint;0;0,01
1178;169;Cap Booster 25 Blueprint;0;0,01
1179;169;Cap Booster 50 Blueprint;0;0,01
1182;96;Auto Targeting System I;30;5
1183;62;Small Armor Repairer II;500;5
1184;142;Small Armor Repairer II Blueprint;0;0,01
1185;61;Small Capacitor Battery I;0;5
1186;141;Small Capacitor Battery I Blueprint;0;0,01
1190;67;Small Remote Capacitor Transmitter II;10000;5
1191;147;Small Remote Capacitor Transmitter II Blueprint;0;0,01
1192;764;Basic Overdrive Injector System;50;5
1193;98;Basic EM Plating;1;5
1194;99;Amarr Sentry Gun;1000;1000
1195;43;Cap Recharger I;1;5
1196;123;Cap Recharger I Blueprint;0;0,01
1197;98;EM Plating I;1;5
1198;98;EM Plating II;1;5
1201;100;Wasp I;10000;25
1202;101;Civilian Mining Drone;0;5
1204;163;EM Plating I Blueprint;0;0,01
1205;163;EM Plating II Blueprint;0;0,01
1208;162;Auto Targeting System I Blueprint;0;0,01
1210;160;ECM Burst I Blueprint;0;0,01
1212;161;Passive Targeter I Blueprint;0;0,01
1214;176;Wasp I Blueprint;0;0,01
1215;170;Heavy Defender Missile I Blueprint;0;0,01
1216;166;Mjolnir Auto-Targeting Light Missile I Blueprint;1;0,01
1217;174;Python Mine Blueprint;0;0,01
1218;177;Civilian Mining Drone Blueprint;0;0,01
1220;166;Scourge Rocket Blueprint;1;0,01
1221;166;Scourge Torpedo Blueprint;1;0,01
1223;451;Bistot;1E+35;16
1224;459;Pyroxeres;1E+35;0,3
1225;452;Crokite;1E+35;16
1226;456;Jaspet;1E+35;2
1227;469;Omber;1E+35;0,6
1228;460;Scordite;1E+35;0,15
1229;467;Gneiss;1E+35;5
1230;462;Veldspar;4000;0,1
1231;455;Hemorphite;1E+35;3
1232;453;Dark Ochre;1E+35;8
1233;237;Polaris Enigma Frigate;1000000;20400
1236;764;Overdrive Injector System II;100;5
1237;158;Overdrive Injector System II Blueprint;0;0,01
1240;78;Basic Reinforced Bulkheads;200;5
1242;763;Basic Nanofiber Internal Structure;100;5
1244;764;Overdrive Injector System I;50;5
1245;158;Overdrive Injector System I Blueprint;0;0,01
1246;768;Capacitor Flux Coil I;20;5
1247;137;Capacitor Flux Coil I Blueprint;0;0,01
1248;768;Capacitor Flux Coil II;20;5
1249;137;Capacitor Flux Coil II Blueprint;0;0,01
1254;770;Shield Flux Coil I;20;5
1255;137;Shield Flux Coil I Blueprint;0;0,01
1256;770;Shield Flux Coil II;20;5
1257;137;Shield Flux Coil II Blueprint;0;0,01
1262;98;Basic Explosive Plating;1;5
1264;98;Explosive Plating I;1;5
1265;163;Explosive Plating I Blueprint;0;0,01
1266;98;Explosive Plating II;1;5
1267;163;Explosive Plating II Blueprint;0;0,01
1272;98;Basic Layered Plating;1;5
1274;98;Layered Plating I;1;5
1275;163;Layered Plating I Blueprint;0;0,01
1276;98;Layered Plating II;1;5
1277;163;Layered Plating II Blueprint;0;0,01
1282;98;Basic Kinetic Plating;1;5
1284;98;Kinetic Plating I;1;5
1285;163;Kinetic Plating I Blueprint;0;0,01
1286;98;Kinetic Plating II;1;5
1287;163;Kinetic Plating II Blueprint;0;0,01
1292;98;Basic Thermic Plating;1;5
1294;98;Thermic Plating I;1;5
1295;163;Thermic Plating I Blueprint;0;0,01
1296;98;Thermic Plating II;1;5
1297;163;Thermic Plating II Blueprint;0;0,01
1302;98;Basic Adaptive Nano Plating;1;5
1304;98;Adaptive Nano Plating I;1;5
1305;163;Adaptive Nano Plating I Blueprint;0;0,01
1306;98;Adaptive Nano Plating II;1;5
1307;163;Adaptive Nano Plating II Blueprint;0;0,01
1315;765;Basic Expanded Cargohold;50;5
1317;765;Expanded Cargohold I;50;5
1318;158;Expanded Cargohold I Blueprint;0;0,01
1319;765;Expanded Cargohold II;50;5
1320;158;Expanded Cargohold II Blueprint;0;0,01
1333;78;Reinforced Bulkheads I;200;25
1334;158;Reinforced Bulkheads I Blueprint;0;0,01
1335;78;Reinforced Bulkheads II;200;5
1336;158;Reinforced Bulkheads II Blueprint;0;0,01
1351;769;Basic Reactor Control Unit;20;5
1353;769;Reactor Control Unit I;20;5
1354;137;Reactor Control Unit I Blueprint;0;0,01
1355;769;Reactor Control Unit II;20;5
1356;137;Reactor Control Unit II Blueprint;0;0,01
1373;1;CharacterAmarr;0;1
1374;1;CharacterNiKunni;0;1
1375;1;CharacterCivire;0;1
1376;1;CharacterDeteis;0;1
1377;1;CharacterGallente;0;1
1378;1;CharacterIntaki;0;1
1379;1;CharacterSebiestor;0;1
1380;1;CharacterBrutor;0;1
1381;1;CharacterStatic;0;1
1382;1;CharacterModifier;0;1
1383;1;CharacterAchura;0;1
1384;1;CharacterJinMei;0;1
1385;1;CharacterKhanid;0;1
1386;1;CharacterVherokior;0;1
1401;762;Basic Inertia Stabilizers;200;5
1403;762;Inertia Stabilizers I;200;5
1404;158;Inertia Stabilizers I Blueprint;0;0,01
1405;762;Inertia Stabilizers II;200;5
1406;158;Inertia Stabilizers II Blueprint;0;0,01
1419;57;Basic Shield Power Relay;20;5
1422;57;Shield Power Relay II;20;5
1423;137;Shield Power Relay II Blueprint;0;0,01
1436;96;Auto Targeting System II;40;5
